"Indicator","Market","Destination","Units","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Length of stay","Total","Statewide","days","","","","","","","","","","","9.33","9.33","9.38","9.28","9.17","9.13","9.06","8.98","8.95","8.93","8.70","10.58","9.64","9.23","8.95","8.71","8.68"
"Length of stay","Air total","Statewide","days","8.90","8.88","9.16","9.15","9.21","9.08","9.13","9.19","9.22","9.40","9.38","9.39","9.45","9.36","9.25","9.18","9.12","9.03","9.01","8.99","8.76","10.65","9.64","9.27","9.02","8.78","8.75"
"Length of stay","Air total","Oahu","days","6.36","6.59","6.83","6.79","6.85","6.86","6.91","6.94","6.85","7.13","7.28","7.36","7.38","7.31","6.95","6.78","6.82","6.79","6.75","6.90","6.80","8.52","8.09","7.44","7.22","7.05","6.97"
"Length of stay","Air total","Kauai","days","6.10","6.14","6.09","6.19","6.67","6.76","6.59","6.34","6.24","7.05","7.35","7.46","7.51","7.53","7.64","7.70","7.63","7.66","7.50","7.48","7.38","8.90","8.61","7.76","7.46","7.45","7.33"
"Length of stay","Air total","Maui County","days","6.84","6.96","7.05","7.13","7.40","7.55","7.53","7.46","7.41","7.91","8.10","8.13","8.17","8.15","8.24","8.32","8.24","8.20","8.09","8.12","7.96","9.61","8.73","8.21","8.12","7.98","7.80"
"Length of stay","Air total","Maui Island","days","6.71","6.81","6.90","7.17","7.33","7.47","7.46","7.36","7.31","7.83","8.03","8.06","8.09","8.08","8.17","8.25","8.19","8.14","8.03","8.07","7.92","9.53","8.69","8.16","8.09","7.95","7.78"
"Length of stay","Air total","Molokai","days","4.98","5.13","4.32","4.64","3.67","4.28","4.25","3.99","4.31","4.42","4.88","4.93","4.65","4.85","4.79","4.61","4.42","4.84","4.82","4.83","4.54","6.93","7.09","5.92","5.45","5.73","4.97"
"Length of stay","Air total","Lanai","days","4.34","4.72","4.71","4.71","3.41","3.29","3.14","2.99","3.22","3.50","3.64","3.60","3.52","3.62","3.49","3.31","2.79","3.51","3.39","3.41","3.20","4.64","4.91","4.11","3.58","3.85","3.63"
"Length of stay","Air total","Hawaii Island","days","6.35","6.30","6.51","6.40","6.63","6.68","6.66","6.41","6.28","6.88","6.97","7.11","7.35","7.29","7.44","7.57","7.57","7.52","7.34","7.49","7.36","10.11","9.27","8.25","7.88","7.75","7.52"
"Length of stay","Air total","Hilo","days","4.24","4.05","4.00","3.82","3.75","3.65","3.47","3.24","3.07","3.63","3.71","3.84","3.91","3.89","4.08","4.14","4.09","4.19","4.07","4.15","3.91","6.34","6.04","5.01","4.44","4.33","4.13"
"Length of stay","Air total","Kona","days","5.92","5.89","5.97","6.21","6.43","6.34","6.23","5.99","5.88","6.60","6.75","6.84","7.04","7.06","7.11","7.19","7.15","7.05","6.80","6.91","6.84","9.26","8.63","7.68","7.29","7.19","6.94"

"Data is updated monthly by the Research & Economic Analysis Division, State of Hawaii Department of Business, Economic Development and Tourism (DBEDT)"
"Source of Data: Hawaii Tourism Authority"
"Seasonally adjusted series are from DBEDT"
"Hotel performance data prior to March 2017 are from Hospitality Advisors, LLC."